pert,model,des,k_true,h1_l1,tier
ACAT2,gene_direct,0.3364251692153422,3989,539.3216861297769,strong
ACAT2,h1_mean,0.43394334419654046,3989,539.3216861297769,strong
ACAT2,gene_top50,0.22160942592128352,3989,539.3216861297769,strong
ACAT2,gene_top100,0.22261218350463777,3989,539.3216861297769,strong
ACAT2,gene_top200,0.22662321383805464,3989,539.3216861297769,strong
ACAT2,gene_top500,0.2313863123589872,3989,539.3216861297769,strong
ACVR1B,gene_direct,0.06240713224368499,673,275.61779581246265,weak
ACVR1B,h1_mean,0.18722139673105498,673,275.61779581246265,weak
ACVR1B,gene_top50,0.03714710252600297,673,275.61779581246265,weak
ACVR1B,gene_top100,0.03417533432392273,673,275.61779581246265,weak
ACVR1B,gene_top200,0.03714710252600297,673,275.61779581246265,weak
ACVR1B,gene_top500,0.0549777117384844,673,275.61779581246265,weak
AKT2,gene_direct,0.07380073800738007,542,277.1425954759761,weak
AKT2,h1_mean,0.14206642066420663,542,277.1425954759761,weak
AKT2,gene_top50,0.046125461254612546,542,277.1425954759761,weak
AKT2,gene_top100,0.04797047970479705,542,277.1425954759761,weak
AKT2,gene_top200,0.055350553505535055,542,277.1425954759761,weak
AKT2,gene_top500,0.07011070110701106,542,277.1425954759761,weak
ARID1A,gene_direct,0.29098837209302325,3440,518.2172098637311,mid
ARID1A,h1_mean,0.3883720930232558,3440,518.2172098637311,mid
ARID1A,gene_top50,0.19883720930232557,3440,518.2172098637311,mid
ARID1A,gene_top100,0.1994186046511628,3440,518.2172098637311,mid
ARID1A,gene_top200,0.2052325581395349,3440,518.2172098637311,mid
ARID1A,gene_top500,0.21569767441860466,3440,518.2172098637311,mid
ATM,gene_direct,0.30752621838371375,3242,656.6624912182597,strong
ATM,h1_mean,0.4244293645897594,3242,656.6624912182597,strong
ATM,gene_top50,0.18969771745835903,3242,656.6624912182597,strong
ATM,gene_top100,0.19247378161628625,3242,656.6624912182597,strong
ATM,gene_top200,0.1986428130783467,3242,656.6624912182597,strong
ATM,gene_top500,0.21283158544108574,3242,656.6624912182597,strong
ATP6V0B,gene_direct,0.03571428571428571,56,380.5375562848167,mid
ATP6V0B,h1_mean,0.08928571428571429,56,380.5375562848167,mid
ATP6V0B,gene_top50,0.03571428571428571,56,380.5375562848167,mid
ATP6V0B,gene_top100,0.03571428571428571,56,380.5375562848167,mid
ATP6V0B,gene_top200,0.03571428571428571,56,380.5375562848167,mid
ATP6V0B,gene_top500,0.03571428571428571,56,380.5375562848167,mid
ATP6V0C,gene_direct,0.07142857142857142,98,1066.6549765848213,strong
ATP6V0C,h1_mean,0.08163265306122448,98,1066.6549765848213,strong
ATP6V0C,gene_top50,0.061224489795918366,98,1066.6549765848213,strong
ATP6V0C,gene_top100,0.07142857142857142,98,1066.6549765848213,strong
ATP6V0C,gene_top200,0.07142857142857142,98,1066.6549765848213,strong
ATP6V0C,gene_top500,0.07142857142857142,98,1066.6549765848213,strong
BIRC2,gene_direct,0.46287927695287284,4647,532.7302886944417,mid
BIRC2,h1_mean,0.65848934796643,4647,532.7302886944417,mid
BIRC2,gene_top50,0.26662362814719176,4647,532.7302886944417,mid
BIRC2,gene_top100,0.2679147837314396,4647,532.7302886944417,mid
BIRC2,gene_top200,0.27307940606843123,4647,532.7302886944417,mid
BIRC2,gene_top500,0.2868517323004089,4647,532.7302886944417,mid
BRD9,gene_direct,0.06299212598425197,254,953.0837602631691,strong
BRD9,h1_mean,0.22440944881889763,254,953.0837602631691,strong
BRD9,gene_top50,0.023622047244094488,254,953.0837602631691,strong
BRD9,gene_top100,0.023622047244094488,254,953.0837602631691,strong
BRD9,gene_top200,0.05511811023622047,254,953.0837602631691,strong
BRD9,gene_top500,0.06299212598425197,254,953.0837602631691,strong
C1QBP,gene_direct,0.48429822687459945,4681,626.7133262989628,strong
C1QBP,h1_mean,0.630420850245674,4681,626.7133262989628,strong
C1QBP,gene_top50,0.25592822046571245,4681,626.7133262989628,strong
C1QBP,gene_top100,0.2587054048280282,4681,626.7133262989628,strong
C1QBP,gene_top200,0.2661824396496475,4681,626.7133262989628,strong
C1QBP,gene_top500,0.2834864345225379,4681,626.7133262989628,strong
CALM3,gene_direct,0.11402359108781127,763,401.40694722824264,mid
CALM3,h1_mean,0.1218872870249017,763,401.40694722824264,mid
CALM3,gene_top50,0.04980340760157274,763,401.40694722824264,mid
CALM3,gene_top100,0.053735255570117955,763,401.40694722824264,mid
CALM3,gene_top200,0.06290956749672345,763,401.40694722824264,mid
CALM3,gene_top500,0.09174311926605505,763,401.40694722824264,mid
CASP2,gene_direct,0.05555555555555555,18,167.50471709625344,weak
CASP2,h1_mean,0.0,18,167.50471709625344,weak
CASP2,gene_top50,0.05555555555555555,18,167.50471709625344,weak
CASP2,gene_top100,0.05555555555555555,18,167.50471709625344,weak
CASP2,gene_top200,0.05555555555555555,18,167.50471709625344,weak
CASP2,gene_top500,0.05555555555555555,18,167.50471709625344,weak
CASP3,gene_direct,0.5997504289502418,6411,802.2093092653886,strong
CASP3,h1_mean,0.7167368585244112,6411,802.2093092653886,strong
CASP3,gene_top50,0.361410076431134,6411,802.2093092653886,strong
CASP3,gene_top100,0.3626579316799251,6411,802.2093092653886,strong
CASP3,gene_top200,0.36593355170800185,6411,802.2093092653886,strong
CASP3,gene_top500,0.37700826704102325,6411,802.2093092653886,strong
CAST,gene_direct,0.23946994794131565,2113,337.5498944532701,mid
CAST,h1_mean,0.4178892569805963,2113,337.5498944532701,mid
CAST,gene_top50,0.12872692853762424,2113,337.5498944532701,mid
CAST,gene_top100,0.1282536677709418,2113,337.5498944532701,mid
CAST,gene_top200,0.1329862754377662,2113,337.5498944532701,mid
CAST,gene_top500,0.15238996687174633,2113,337.5498944532701,mid
CDCA2,gene_direct,0.02158273381294964,278,213.50087349961177,weak
CDCA2,h1_mean,0.16906474820143885,278,213.50087349961177,weak
CDCA2,gene_top50,0.02158273381294964,278,213.50087349961177,weak
CDCA2,gene_top100,0.02877697841726619,278,213.50087349961177,weak
CDCA2,gene_top200,0.025179856115107913,278,213.50087349961177,weak
CDCA2,gene_top500,0.02158273381294964,278,213.50087349961177,weak
CENPO,gene_direct,0.09142053445850915,711,297.83834842007127,mid
CENPO,h1_mean,0.3066104078762307,711,297.83834842007127,mid
CENPO,gene_top50,0.0450070323488045,711,297.83834842007127,mid
CENPO,gene_top100,0.0450070323488045,711,297.83834842007127,mid
CENPO,gene_top200,0.06047819971870605,711,297.83834842007127,mid
CENPO,gene_top500,0.07735583684950774,711,297.83834842007127,mid
CHMP3,gene_direct,0.21288515406162464,2142,390.77709899896945,mid
CHMP3,h1_mean,0.28944911297852477,2142,390.77709899896945,mid
CHMP3,gene_top50,0.1330532212885154,2142,390.77709899896945,mid
CHMP3,gene_top100,0.13725490196078433,2142,390.77709899896945,mid
