cell,group,TMSB4X,ACTB,CD24,POU5F1,OAZ1,EEF2,HSPA8,ACTG1,TUBB2B,LDHB,LIN28A,LAPTM4B,HNRNPA2B1,SCD,L1TD1,CLDN6,SLC16A1,DNMT3B,HSPD1,MIF,HSP90AA1,FADS2,SFRP1,HELLS,GJA1,YBX1,ENAH,HIST1H1B,NDUFA4,SEPHS1,CFL1,MAD2L2,EEF1G,SNRPN,SELENOH,ITM2C,NACC1,PODXL,MGST1,ENO1
TMSB4X_pert_1,TMSB4X被敲低(实测数据),1.6094,5.4681,5.3566,4.7095,4.585,4.4659,4.7449,4.2341,4.4188,4.5109,4.2195,4.4188,4.1431,4.7875,4.3438,4.1431,3.8501,3.912,4.0073,3.7136,4.0943,4.0431,3.6889,3.5835,3.9318,3.989,3.8712,3.2958,3.4012,3.6376,3.7842,3.7842,3.912,3.9512,3.6636,3.8286,3.6376,3.6889,3.8712,3.4965
TMSB4X_pert_2,TMSB4X被敲低(实测数据),1.3863,5.4889,5.0562,4.7185,4.382,4.4188,4.7362,4.2905,4.5951,3.8067,4.0604,3.3322,4.0254,3.989,3.9512,4.1897,3.6636,3.7377,3.9318,3.6109,3.8918,3.4657,2.5649,3.6109,3.4012,3.5553,3.5835,2.0794,3.8067,3.091,3.2581,3.5553,3.5835,3.6636,3.7377,3.4012,3.6889,3.434,3.3673,3.7377
TMSB4X_pert_3,TMSB4X被敲低(实测数据),0.6931,5.687,5.591,4.7707,4.7449,4.6821,4.4188,4.5539,4.5109,4.4427,4.585,4.4659,4.3438,4.7005,4.4308,4.4308,4.2627,4.3694,4.0254,4.2767,4.1744,4.0775,4.1589,3.9512,3.8501,4.0254,3.8712,5.2149,4.0431,4.3694,3.9512,3.7377,4.0431,4.0073,3.8501,3.9318,4.0431,4.1109,4.0775,3.989
TMSB4X_pert_4,TMSB4X被敲低(实测数据),0.6931,6.1269,5.5094,5.451,5.2149,5.2679,4.7185,4.804,4.7622,4.7958,4.852,4.7958,4.6634,4.2767,4.4543,4.3694,4.2195,4.4427,4.6347,4.5539,4.3944,4.3567,4.5951,4.2047,3.5264,4.4543,4.0431,4.9767,4.1744,4.0775,4.5326,4.382,4.4427,4.1271,4.2627,4.1589,4.3438,3.7136,4.2485,3.8286
TMSB4X_pert_5,TMSB4X被敲低(实测数据),1.3863,5.3132,4.8903,4.6052,4.0943,4.4427,4.8828,4.2341,4.1897,4.1431,4.2341,3.9512,4.0604,4.0431,3.7842,3.6889,4.0431,3.7612,3.9512,4.1589,3.4012,3.7377,3.1355,3.7136,3.4012,3.3673,3.1355,0.6931,3.9318,3.6376,3.6376,3.5835,3.4965,3.6889,3.7136,3.091,3.4657,3.5553,3.6109,3.6376
TMSB4X_pert_6,TMSB4X被敲低(实测数据),1.0986,5.6971,5.4293,5.0752,4.9127,4.8203,4.6634,4.7791,4.7536,4.6444,4.5218,4.4067,4.4659,4.4427,4.1271,4.3041,4.2627,4.5539,4.1897,4.0073,4.2195,3.9512,3.9318,4.1431,4.2767,4.0943,3.912,4.804,4.0604,4.1109,3.7377,3.9512,4.1589,4.0604,4.0431,3.989,3.8918,4.0073,3.6109,4.0943
TMSB4X_pert_7,TMSB4X被敲低(实测数据),1.3863,6.1356,5.8171,5.2781,5.204,5.0814,5.5053,4.8442,4.8442,4.9628,4.8598,4.8283,4.8363,4.8442,4.8363,4.8122,4.7362,4.8598,4.6052,4.382,4.654,4.5643,5.0562,4.3944,4.4308,4.4659,4.6444,3.3322,4.3041,4.2341,4.5951,4.4659,4.3694,4.0943,4.4886,4.4427,4.2905,4.2047,4.5643,4.0604
TMSB4X_pert_8,TMSB4X被敲低(实测数据),0.6931,5.4931,5.3566,4.6444,4.3694,4.3175,4.3694,4.4659,4.4659,4.3694,4.1897,4.3944,4.4188,4.4659,4.3175,4.5643,4.3944,3.9512,3.989,3.6376,3.7136,4.3438,3.912,4.0943,3.8067,3.3673,4.2047,5.0562,3.7842,3.7612,4.0943,3.7377,3.6109,3.9512,3.5553,3.8067,3.7842,3.9703,3.7842,3.7842
TMSB4X_pert_9,TMSB4X被敲低(实测数据),1.3863,5.4337,5.3083,4.7622,4.7875,4.6444,4.8675,4.2485,3.8712,4.5747,4.2341,4.5747,4.4427,4.6913,4.3041,4.2767,4.4188,4.3438,4.1744,4.1431,4.0775,4.2905,4.2905,3.9703,3.9512,4.0073,3.9703,5.3566,3.9512,3.9703,3.9703,3.7136,3.6636,4.1897,3.6376,3.9318,3.8286,4.1589,3.7136,3.6109
TMSB4X_pert_10,TMSB4X被敲低(实测数据),0.6931,6.5453,5.9865,5.6168,5.124,5.3519,5.425,5.0752,5.0689,5.2095,4.7875,4.7791,4.9416,4.9904,4.92,4.5643,5.1417,4.5747,4.8363,4.7958,4.3944,4.804,4.585,4.4188,4.6728,4.4773,4.382,3.5553,4.5539,4.2905,4.5747,4.4998,4.625,4.5109,4.3438,4.1744,4.4427,4.9127,4.7791,4.3694
