cell,group,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,HES4,ISG15,AGRN,RNF223,C1orf159,TTLL10,TNFRSF18,TNFRSF4,SDF4,B3GALT6,C1QTNF12,UBE2J2,SCNN1D,ACAP3,PUSL1,INTS11,CPTP,TAS1R3,DVL1,MXRA8,AURKAIP1,CCNL2,ANKRD65,TMEM88B,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,FNDC10,MIB2,MMP23B,CDK11B,CDK11A,NADK,GNB1,CALML6,TMEM52,CFAP74,GABRD,PRKCZ,FAAP20,SKI,RER1
TMSB4X_pert_1,TMSB4X被敲低(实测数据),0.0,0.6931,0.0,0.0,0.0,0.0,1.0986,2.1972,0.0,0.6931,0.0,0.0,0.0,2.1972,0.0,0.0,1.9459,0.0,0.0,1.3863,1.9459,0.0,0.0,1.6094,0.0,1.6094,2.7081,0.0,0.0,0.0,0.0,0.6931,1.6094,0.0,2.1972,0.0,0.0,0.0,1.6094,0.0,0.6931,0.0,0.0,0.0,0.0,0.0,1.0986,0.6931,2.3026,2.7726
TMSB4X_pert_2,TMSB4X被敲低(实测数据),0.0,0.0,0.0,0.0,0.0,0.0,1.3863,1.7918,0.0,0.0,0.0,0.0,0.0,1.6094,0.0,0.0,1.0986,0.0,0.0,1.0986,1.9459,0.0,0.0,0.6931,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,0.0,1.3863,0.0,2.0794,1.0986,0.6931,0.0,1.9459,0.0,0.6931,1.0986,0.0,0.0,0.0,0.0,1.0986,1.6094,2.1972,2.1972
TMSB4X_pert_3,TMSB4X被敲低(实测数据),0.0,0.6931,0.0,0.0,0.0,0.0,0.6931,2.3026,0.0,0.0,0.0,0.0,0.0,2.0794,0.6931,0.0,2.0794,0.0,0.0,1.0986,1.7918,0.0,0.0,0.6931,0.0,1.6094,2.5649,0.0,0.0,0.6931,0.0,0.6931,1.0986,0.6931,2.4849,0.0,1.0986,0.6931,1.6094,1.0986,1.9459,0.6931,0.0,0.6931,0.0,0.0,1.6094,0.6931,2.4849,2.7726
TMSB4X_pert_4,TMSB4X被敲低(实测数据),0.0,1.7918,0.0,0.0,0.0,0.0,1.6094,0.6931,0.0,0.0,0.0,0.0,0.0,2.4849,0.0,0.0,2.1972,0.0,1.0986,1.0986,2.7726,0.0,0.0,1.0986,0.6931,1.3863,2.4849,0.0,0.0,0.0,0.0,0.0,1.6094,0.0,2.8904,1.3863,1.0986,0.0,0.6931,1.0986,1.7918,1.3863,0.0,0.0,0.0,0.0,2.0794,1.6094,2.7081,2.9444
TMSB4X_pert_5,TMSB4X被敲低(实测数据),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986,0.0,0.0,0.0,0.0,0.0,1.7918,0.0,0.0,1.9459,0.0,1.0986,0.6931,2.6391,0.0,0.0,1.0986,0.0,0.6931,2.1972,0.0,0.0,1.6094,0.0,0.6931,0.6931,0.0,2.5649,0.0,0.0,0.0,1.3863,0.0,1.6094,1.3863,0.0,0.0,0.0,0.0,0.0,0.0,2.1972,2.1972
TMSB4X_pert_6,TMSB4X被敲低(实测数据),0.0,0.6931,0.0,0.0,0.0,0.0,1.0986,1.6094,0.0,0.0,0.0,0.0,0.0,1.6094,0.0,0.0,2.3026,0.0,0.0,1.3863,1.3863,0.0,0.0,1.0986,0.6931,2.1972,1.7918,0.0,0.0,0.6931,0.0,1.0986,1.7918,0.0,2.7081,0.6931,0.0,0.0,0.6931,0.6931,1.0986,2.0794,0.0,1.0986,0.0,0.6931,0.0,1.3863,2.0794,1.7918
TMSB4X_pert_7,TMSB4X被敲低(实测数据),0.0,0.0,0.6931,0.0,0.0,0.0,0.6931,2.9444,0.0,0.0,0.0,0.0,0.0,3.0445,0.0,0.0,2.5649,0.0,0.0,0.0,2.0794,0.6931,0.0,1.9459,1.0986,0.0,3.3322,0.0,0.0,1.0986,0.0,0.0,1.7918,0.0,2.7081,0.6931,1.3863,0.0,1.6094,0.6931,1.0986,0.6931,0.0,1.0986,0.0,0.0,1.0986,1.0986,2.9957,3.1355
TMSB4X_pert_8,TMSB4X被敲低(实测数据),0.0,1.7918,0.0,0.0,0.0,0.0,1.3863,0.6931,0.0,0.6931,0.0,0.0,0.0,1.9459,0.0,0.0,1.3863,0.0,0.0,0.6931,1.6094,0.0,0.0,0.6931,0.6931,0.6931,2.3026,0.0,0.0,0.0,0.0,0.6931,1.6094,0.6931,2.1972,0.0,0.6931,0.0,1.0986,0.6931,0.6931,1.6094,0.0,0.0,0.0,0.0,0.6931,1.3863,1.7918,2.3026
control_1,对照(non-targeting),0.0,0.6931,0.6931,0.0,0.0,0.0,1.0986,2.3979,0.0,1.0986,0.0,0.0,0.0,2.5649,0.0,0.0,2.1972,0.0,0.0,0.0,2.1972,0.0,0.0,1.3863,0.0,1.7918,2.1972,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,2.3026,0.6931,1.0986,1.6094,1.3863,0.0,0.6931,1.3863,0.0,0.0,0.0,0.6931,1.3863,1.0986,2.7726,2.5649
control_2,对照(non-targeting),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863,0.0,0.0,0.0,0.0,0.0,1.6094,0.0,0.6931,2.4849,0.0,1.0986,1.7918,1.6094,0.6931,0.0,1.7918,0.0,1.3863,1.6094,0.0,0.0,0.0,0.0,1.3863,0.6931,0.6931,2.1972,0.6931,0.6931,0.0,1.3863,0.0,1.0986,1.0986,0.0,0.6931,0.0,0.0,1.9459,0.0,2.7081,2.7726
