cell,gene,log1p值,还原成UMI计数
cell_1,KLHL17,0.6931,1
cell_1,ISG15,0.6931,1
cell_1,AGRN,0.6931,1
cell_1,SDF4,2.3026,9
cell_1,UBE2J2,1.9459,6
cell_1,ACAP3,0.6931,1
cell_1,PUSL1,1.0986,2
cell_1,INTS11,2.3979,10
cell_1,CPTP,1.3863,3
cell_1,DVL1,1.0986,2
cell_1,MXRA8,0.6931,1
cell_1,AURKAIP1,1.9459,6
cell_1,CCNL2,2.6391,13
cell_1,ATAD3B,0.6931,1
cell_1,ATAD3A,1.3863,3
cell_1,SSU72,2.8332,16
cell_1,MIB2,1.0986,2
cell_1,CDK11B,0.6931,1
cell_1,NADK,0.6931,1
cell_1,GNB1,2.3026,9
cell_1,TMEM52,0.6931,1
cell_1,PRKCZ,1.7918,5
cell_1,FAAP20,0.6931,1
cell_1,SKI,2.5649,12
cell_1,RER1,2.7081,14
cell_1,PRXL2B,0.6931,1
cell_1,ARHGEF16,1.0986,2
cell_1,MEGF6,0.6931,1
cell_1,TP73,0.6931,1
cell_1,LRRC47,1.6094,4
cell_1,CEP104,1.0986,2
cell_1,C1orf174,1.3863,3
cell_1,ICMT,2.1972,8
cell_1,ACOT7,1.9459,6
cell_1,NOL9,1.0986,2
cell_1,ZBTB48,0.6931,1
cell_1,KLHL21,1.3863,3
cell_1,PHF13,1.6094,4
cell_1,DNAJC11,2.7726,15
cell_1,CAMTA1,2.7081,14
cell_1,VAMP3,1.0986,2
cell_1,ERRFI1,1.6094,4
cell_1,RERE,3.3673,28
cell_1,ENO1,4.1271,61
cell_1,SLC25A33,2.0794,7
cell_1,TMEM201,0.6931,1
cell_1,CLSTN1,2.0794,7
cell_1,CTNNBIP1,2.0794,7
cell_1,LZIC,1.3863,3
cell_1,UBE4B,1.7918,5
cell_1,KIF1B,2.4849,11
cell_1,PGD,1.0986,2
cell_1,CENPS,0.6931,1
cell_1,DFFA,2.3979,10
cell_1,CASZ1,0.6931,1
cell_1,SRM,3.4012,29
cell_1,EXOSC10,1.7918,5
cell_1,MTOR,1.9459,6
cell_1,DISP3,0.6931,1
cell_1,FBXO2,1.0986,2
cell_1,MAD2L2,4.0073,54
cell_1,DRAXIN,1.0986,2
cell_1,AGTRAP,1.9459,6
cell_1,MTHFR,1.3863,3
cell_1,CLCN6,0.6931,1
cell_1,KIAA2013,0.6931,1
cell_1,PLOD1,1.6094,4
cell_1,MFN2,1.0986,2
cell_1,MIIP,1.7918,5
cell_1,TNFRSF8,1.0986,2
cell_1,LRRC38,0.6931,1
cell_1,PDPN,2.3979,10
cell_1,EFHD2,1.6094,4
cell_1,CASP9,1.0986,2
cell_1,AGMAT,1.6094,4
cell_1,DDI2,1.3863,3
cell_1,PLEKHM2,1.0986,2
