target_gene,n_cells
non-targeting,38176
TMSB4X,4760
PRCP,4331
TADA1,4035
HIRA,3407
IGF2R,3109
NCK2,2929
MED13,2787
MED12,2766
STAT1,2493
USP22,2491
MED13L,2469
TET1,2428
KIF1B,2407
SRC,2403
PBX1,2313
CAST,2252
IDE,2248
MAPKAPK2,2196
PTPN1,2195
KDM2B,2142
ATP1B1,2121
KAT2A,2120
NISCH,2101
KDR,2056
WFS1,2043
TARBP2,2032
MAP3K7,2019
HMGN1,2004
TSC22D4,1970
FOXH1,1967
PAGR1,1953
KLF10,1932
POLB,1905
RNF2,1844
SMARCA5,1795
ACAT2,1765
TRAM2,1756
CAMSAP2,1750
CDCA2,1717
CREG1,1703
CASP2,1590
UBE3C,1590
EIF4B,1585
STAG2,1573
HMGB2,1487
TGFBR2,1474
ANTXR1,1448
MTA1,1434
DHCR24,1420
NDUFB4,1413
ACVR1B,1400
DHX36,1392
LZTR1,1381
INSIG1,1363
LAD1,1361
TCF3,1343
DAXX,1332
CLDN7,1303
NIT1,1287
PRR12,1286
ARID1A,1256
STX4,1249
CENPO,1193
NRAS,1172
CHMP3,1168
EID2,1167
UQCRQ,1161
ZNF426,1132
BIRC2,1116
PLCB3,1110
TFAM,1105
PMS1,1100
GSK3B,1059
ZNF286A,1059
LRPPRC,1053
CASP3,1037
MAST2,1029
HAT1,1025
MAU2,1021
SMARCA4,1015
TWF2,1008
IRF3,985
MKI67,968
AKT2,938
SSBP1,905
PHF14,899
DNMT1,893
TMSB10,872
CLDN6,864
DLG5,864
NDUFB6,863
STAT6,858
ZNF714,852
SAFB,827
SOX2,806
SLC25A3,805
ZNF593,797
RAF1,791
IKBKG,790
METTL17,790
SMAGP,788
MAP1B,784
TAZ,749
OXCT1,740
WSB2,712
C1QBP,711
CALM3,681
SIX4,642
RRM1,638
MBTPS1,626
RAB3B,594
XRCC4,591
TRAPPC6A,589
SIN3B,586
SV2A,580
EWSR1,538
TXNDC9,514
TMBIM6,505
METTL3,498
METTL14,468
ATM,455
MED24,455
PHF10,450
DZIP3,447
ZNF562,418
MED1,407
SNCA,386
SUPT4H1,364
PRDM14,359
PMEL,356
KDM1A,352
NREP,352
SEC62,286
ETV4,263
ATP6V0B,245
EPHB4,241
SHPRH,241
EPB41L2,219
SDC1,215
KIF20A,183
SALL4,180
SLC39A6,178
HSBP1,166
FDPS,154
TAF13,138
BRD9,67
DNAJA3,65
OXA1L,63
RNF20,47
ATP6V0C,33
