序号,训练集(150),验证集(50),测试集(100)
1,ACAT2,ACLY,AASS
2,ACVR1B,ANXA6,ACTN1
3,AKT2,ARPC2,ADNP
4,ANTXR1,CENPB,ANKZF1
5,ARID1A,COX4I1,APOE
6,ATM,COX6C,ARID3A
7,ATP1B1,CSK,ASF1A
8,ATP6V0B,CTSV,ATF4
9,ATP6V0C,CXCL12,BECN1
10,BIRC2,DOT1L,BRPF1
11,BRD9,DPH2,CD276
12,C1QBP,EHMT1,CDC25B
13,CALM3,EIF3H,CNN3
14,CAMSAP2,FUBP1,COASY
15,CASP2,GNG12,COL6A1
16,CASP3,GSTZ1,CREM
17,CAST,HDAC3,CSNK1E
18,CDCA2,HDAC8,CTBP2
19,CENPO,HMGCR,CTNNB1
20,CHMP3,HMGXB4,CYCS
21,CLDN6,HTATSF1,CYFIP1
22,CLDN7,IGF1R,DCK
23,CREG1,ITGAV,DHX9
24,DAXX,JAZF1,DPF2
25,DHCR24,JMJD8,EHMT2
26,DHX36,KLHDC2,ELAC2
27,DLG5,KRT18,EP300
28,DNAJA3,MAT2A,EPHX1
29,DNMT1,MAX,FGFR1
30,DZIP3,MGST1,FIBP
31,EID2,MTFR1,GRB10
32,EIF4B,NFE2L1,GULP1
33,EPB41L2,PACSIN3,HAX1
34,EPHB4,PAXIP1,HDGF
35,ETV4,PPP2R3C,HMGCS1
36,EWSR1,SH3BP4,HSP90B1
37,FDPS,SLIRP,INO80B
38,FOXH1,SMARCB1,JMJD1C
39,GSK3B,SMARCE1,LAP3
40,HAT1,STRAP,LBR
41,HIRA,SUPV3L1,LTBR
42,HMGB2,TCF7L2,MED15
43,HMGN1,THY1,MED19
44,HSBP1,TUSC3,MED23
45,IDE,UQCRB,MED25
46,IGF2R,USF2,MFSD10
47,IKBKG,VCL,MLLT1
48,INSIG1,WAC,MORN2
49,IRF3,ZNF581,MPC2
50,KAT2A,ZNF598,NCAPH2
51,KDM1A,,NCKAP1
52,KDM2B,,NDUFB9
53,KDR,,NDUFC2
54,KIF1B,,NEK2
55,KIF20A,,NELFE
56,KLF10,,NFATC3
57,LAD1,,NFX1
58,LRPPRC,,NGRN
59,LZTR1,,NSDHL
60,MAP1B,,NUDT9
61,MAP3K7,,OAZ1
62,MAPKAPK2,,OSTC
63,MAST2,,PBX3
64,MAU2,,PCCB
65,MBTPS1,,PGAM1
66,MED1,,PHF12
67,MED12,,PIAS1
68,MED13,,PLAGL2
69,MED13L,,PSME1
70,MED24,,PSMG1
71,METTL14,,RBPJ
72,METTL17,,RFX5
73,METTL3,,RNF40
74,MKI67,,RRM2
75,MTA1,,SAFB2
76,NCK2,,SBDS
77,NDUFB4,,SCCPDH
78,NDUFB6,,SET
79,NISCH,,SETDB1
80,NIT1,,SLC5A6
81,NRAS,,SOX4
82,NREP,,STUB1
83,OXA1L,,STXBP1
84,OXCT1,,TAF11
85,PAGR1,,THAP11
86,PBX1,,TNFRSF12A
87,PHF10,,TOR1A
88,PHF14,,TRAFD1
89,PLCB3,,TSFM
90,PMEL,,TSKU
91,PMS1,,UGDH
92,POLB,,UGP2
93,PRCP,,ZBTB39
94,PRDM14,,ZFP62
95,PRR12,,ZNF107
96,PTPN1,,ZNF32
97,RAB3B,,ZNF664
98,RAF1,,ZNF850
99,RNF2,,ZNF92
100,RNF20,,ZRSR2
101,RRM1,,
102,SAFB,,
103,SALL4,,
104,SDC1,,
105,SEC62,,
106,SHPRH,,
107,SIN3B,,
108,SIX4,,
109,SLC25A3,,
110,SLC39A6,,
111,SMAGP,,
112,SMARCA4,,
113,SMARCA5,,
114,SNCA,,
115,SOX2,,
116,SRC,,
117,SSBP1,,
118,STAG2,,
119,STAT1,,
120,STAT6,,
121,STX4,,
122,SUPT4H1,,
123,SV2A,,
124,TADA1,,
125,TAF13,,
126,TARBP2,,
127,TAZ,,
128,TCF3,,
129,TET1,,
130,TFAM,,
131,TGFBR2,,
132,TMBIM6,,
133,TMSB10,,
134,TMSB4X,,
135,TRAM2,,
136,TRAPPC6A,,
137,TSC22D4,,
138,TWF2,,
139,TXNDC9,,
140,UBE3C,,
141,UQCRQ,,
142,USP22,,
143,WFS1,,
144,WSB2,,
145,XRCC4,,
146,ZNF286A,,
147,ZNF426,,
148,ZNF562,,
149,ZNF593,,
150,ZNF714,,
