cell,阶段,ACLY,ACTB,CD24,POU5F1,HSPA8,EEF2,TUBB2B,ACTG1,TMSB4X,LAPTM4B,SCD,OAZ1
ACLY扰动_1,① 预测前(模板占位),3.4657,6.3172,5.5053,5.2781,5.1761,5.2523,5.0039,4.9488,5.0239,5.037,4.8978,4.9972
ACLY扰动_1,② 预测后(模型输出),3.4769,5.5541,5.3223,4.8378,5.4008,4.6335,4.0745,4.9357,4.3947,4.3598,4.5576,5.0566
ACLY扰动_1,   差值 ②-①,0.0111,-0.763,-0.183,-0.4403,0.2246,-0.6188,-0.9294,-0.0131,-0.6292,-0.6771,-0.3403,0.0594
ACLY扰动_2,① 预测前(模板占位),3.7377,6.6201,5.9814,5.8636,5.9506,5.6454,5.624,5.649,5.7961,5.0876,5.0999,5.323
ACLY扰动_2,② 预测后(模型输出),3.237,6.21,5.5408,5.1877,5.4996,4.924,4.3067,5.1145,4.1471,4.1722,4.9831,5.8779
ACLY扰动_2,   差值 ②-①,-0.5006,-0.4101,-0.4406,-0.676,-0.4511,-0.7215,-1.3173,-0.5345,-1.649,-0.9154,-0.1167,0.5549
ACLY扰动_3,① 预测前(模板占位),3.3322,6.0331,4.5539,5.425,5.3327,5.0304,4.9972,5.0304,4.8978,4.9972,5.0876,4.7536
ACLY扰动_3,② 预测后(模型输出),3.3212,4.3431,6.0386,5.461,3.8717,3.795,4.4278,4.4691,3.6132,4.3198,4.2991,4.4496
ACLY扰动_3,   差值 ②-①,-0.011,-1.69,1.4847,0.0361,-1.461,-1.2355,-0.5694,-0.5613,-1.2847,-0.6774,-0.7885,-0.304
ACLY扰动_4,① 预测前(模板占位),3.3673,6.0591,5.6058,5.4723,4.6913,5.1874,5.0938,4.7274,4.9053,4.8903,5.0999,4.9904
ACLY扰动_4,② 预测后(模型输出),2.872,6.8151,5.2854,4.6283,5.4337,5.4457,4.9805,4.7225,4.8354,4.3388,5.5883,5.2157
ACLY扰动_4,   差值 ②-①,-0.4953,0.756,-0.3204,-0.844,0.7424,0.2583,-0.1133,-0.0049,-0.0698,-0.5516,0.4884,0.2253
ACLY扰动_5,① 预测前(模板占位),2.6391,5.6095,5.2523,4.7958,4.9416,4.4308,4.4188,4.3438,4.2195,4.6821,4.5747,3.8918
ACLY扰动_5,② 预测后(模型输出),2.7472,4.8525,6.285,4.7536,3.5815,3.8786,4.1504,4.4764,4.0663,4.3653,3.7094,4.2241
